CODE,PARENTCODE,LEAF,LEVELCODE,TYPE,ISOCODE,NAME
A 01.45.00,A 01.45.0,1,6,N,it,Allevamento di ovini e caprini
A 01.46,A 01.4,0,4,N,it,Allevamento di suini
A 01.46.0,A 01.46,0,5,N,it,Allevamento di suini
A 01.46.00,A 01.46.0,1,6,N,it,Allevamento di suini
A 01.47,A 01.4,0,4,N,it,Allevamento di pollame
A 01.47.0,A 01.47,0,5,N,it,Allevamento di pollame
A 01.47.00,A 01.47.0,1,6,N,it,Allevamento di pollame
A 01.49,A 01.4,0,4,N,it,Allevamento di altri animali
A 01.49.1,A 01.49,0,5,N,it,Allevamento di conigli
A 01.49.10,A 01.49.1,1,6,N,it,Allevamento di conigli
A 01.49.2,A 01.49,0,5,N,it,Allevamento di animali da pelliccia
A 01.49.20,A 01.49.2,1,6,N,it,Allevamento di animali da pelliccia
A 01.49.3,A 01.49,0,5,N,it,Apicoltura
A 01.49.30,A 01.49.3,1,6,N,it,Apicoltura
A 01.49.4,A 01.49,0,5,N,it,Bachicoltura
A 01.49.40,A 01.49.4,1,6,N,it,Bachicoltura
A 01.49.9,A 01.49,0,5,N,it,Allevamento di altri animali nca
A 01.49.90,A 01.49.9,1,6,N,it,Allevamento di altri animali nca
A 01.5,A 01,0,3,N,it,COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITà MISTA
A 01.50,A 01.5,0,4,N,it,Coltivazioni agricole associate all'allevamento di animali: attività mista
A 01.50.0,A 01.50,0,5,N,it,Coltivazioni agricole associate all'allevamento di animali: attività mista
A 01.50.00,A 01.50.0,1,6,N,it,Coltivazioni agricole associate all'allevamento di animali: attività mista
A 01.6,A 01,0,3,N,it,ATTIVITà DI SUPPORTO ALL'AGRICOLTURA E ATTIVITà SUCCESSIVE ALLA RACCOLTA
A 01.61,A 01.6,0,4,N,it,Attività di supporto alla produzione vegetale
A 01.61.0,A 01.61,0,5,N,it,Attività di supporto alla produzione vegetale
A 01.61.00,A 01.61.0,1,6,N,it,Attività di supporto alla produzione vegetale
A 01.62,A 01.6,0,4,N,it,Attività di supporto alla produzione animale
A 01.62.0,A 01.62,0,5,N,it,Attività di supporto alla produzione animale (esclusi i servizi veterinari)
A 01.62.01,A 01.62.0,1,6,N,it,Attività dei maniscalchi
A 01.62.09,A 01.62.0,1,6,N,it,Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)
A 01.63,A 01.6,0,4,N,it,Attività successive alla raccolta
A 01.63.0,A 01.63,0,5,N,it,Attività che seguono la raccolta
A 01.63.00,A 01.63.0,1,6,N,it,Attività che seguono la raccolta
A 01.64,A 01.6,0,4,N,it,Lavorazione delle sementi per la semina
A 01.64.0,A 01.64,0,5,N,it,Lavorazione delle sementi per la semina
A 01.64.01,A 01.64.0,1,6,N,it,Pulitura e cernita di semi e granaglie
A 01.64.09,A 01.64.0,1,6,N,it,Altre lavorazioni delle sementi per la semina
A 01.7,A 01,0,3,N,it,"CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI"
A 01.70,A 01.7,0,4,N,it,"Caccia, cattura di animali e servizi connessi"
A 01.70.0,A 01.70,0,5,N,it,"Caccia, cattura di animali e servizi connessi"
A 01.70.00,A 01.70.0,1,6,N,it,"Caccia, cattura di animali e servizi connessi"
A 02,A,0,2,N,it,SILVICOLTURA ED UTILIZZO DI AREE FORESTALI
A 02.1,A 02,0,3,N,it,SILVICOLTURA ED ALTRE ATTIVITà FORESTALI
